data_classification,is_synthetic,finding_id,usage_date,period_type,service,environment,account_name,region,owner,confirmed_cause,approved_action,daily_cost,baseline_total,measurement_total,demand_adjustment,realized_savings,savings_percentage,approval_status,outcome_status,rollback_plan,side_effects
SYNTHETIC,true,MOCK-FIN-001,2026-07-01,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,6.10,42.00,27.00,0.00,15.00,35.71,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-02,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,5.90,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-03,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,6.00,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-04,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,6.20,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-05,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,5.80,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-06,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,6.10,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-07,BASELINE,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,5.90,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-08,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.80,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-09,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.90,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-10,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.70,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-11,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,4.00,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-12,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.80,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-13,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.90,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
SYNTHETIC,true,MOCK-FIN-001,2026-07-14,MEASUREMENT,AmazonEC2,staging,Demo Workloads,ap-southeast-2,Demo Platform Team,Staging instances remained active overnight,Stop staging instances from 20:00 to 07:00,3.90,,,,,,APPROVED,VALIDATED,Restore the original instance schedule,None observed
